run_id,treatment,func,rep,time_s,energy_j,cpu_pct,mem_mb
run_76_repetition_0,baseline,equilibrium_index,17,6.191504717,28.63,24.86363636,4.125
run_77_repetition_0,baseline,equilibrium_index,18,6.360532999,28.63,24.18059701,4.0625
run_78_repetition_0,baseline,equilibrium_index,19,6.375535011,28.63,24.29558824,3.96875
run_79_repetition_0,baseline,equilibrium_index,20,6.278423071,28.63,24.31363636,4.078125
run_80_repetition_0,baseline,equilibrium_index,21,6.166804075,28.63,24.58153846,4.09375
run_81_repetition_0,baseline,equilibrium_index,22,6.32296586,28.63,24.5761194,4.03125
run_82_repetition_0,baseline,equilibrium_index,23,5.34039402,25.99,24.25087719,4.078125
run_83_repetition_0,baseline,equilibrium_index,24,6.259965897,28.64,25.01515152,4.078125
run_84_repetition_0,baseline,equilibrium_index,25,5.682715893,28.64,24.75737705,4.046875
run_85_repetition_0,baseline,equilibrium_index,26,6.168841124,28.6,25.09538462,4.203125
run_86_repetition_0,baseline,equilibrium_index,27,6.196003199,28.63,25.12878788,4.046875
run_87_repetition_0,baseline,equilibrium_index,28,5.238458157,25.99,24.62321429,4.046875
run_88_repetition_0,baseline,equilibrium_index,29,5.480677128,25.96,24.18644068,4.015625
run_89_repetition_0,baseline,equilibrium_index,30,6.303737164,28.61,24.62537313,4.0625
run_90_repetition_0,optimized,equilibrium_index,1,5.603111982,26,24.49333333,4
run_91_repetition_0,optimized,equilibrium_index,2,4.644184828,23.33,24.348,4.078125
run_92_repetition_0,optimized,equilibrium_index,3,5.423223972,25.99,24.39482759,4.078125
run_93_repetition_0,optimized,equilibrium_index,4,5.2003479,26,23.86842105,4.0625
run_94_repetition_0,optimized,equilibrium_index,5,4.834482908,25.97,25.02884615,4.046875
run_95_repetition_0,optimized,equilibrium_index,6,5.157543898,25.92,23.24545455,4.03125
run_96_repetition_0,optimized,equilibrium_index,7,4.872506142,25.98,24.86226415,4.078125
run_97_repetition_0,optimized,equilibrium_index,8,5.182589769,25.98,24.82909091,4.125
run_98_repetition_0,optimized,equilibrium_index,9,5.188510895,25.97,23.98392857,4.015625
run_99_repetition_0,optimized,equilibrium_index,10,5.848612785,28.6,25.01612903,4
run_100_repetition_0,optimized,equilibrium_index,11,4.974710941,25.98,24.55660377,4.046875
run_101_repetition_0,optimized,equilibrium_index,12,5.424402952,25.98,24.63965517,4.03125
run_102_repetition_0,optimized,equilibrium_index,13,5.631444931,25.96,24.82,4.0625
run_103_repetition_0,optimized,equilibrium_index,14,5.805284023,28.62,24.92903226,4.078125
run_104_repetition_0,optimized,equilibrium_index,15,4.757503033,25.98,24.69215686,4.046875
run_105_repetition_0,optimized,equilibrium_index,16,5.114935875,25.99,24.50181818,4.09375
run_106_repetition_0,optimized,equilibrium_index,17,5.53036809,25.98,24.42542373,4.046875
run_107_repetition_0,optimized,equilibrium_index,18,4.977089167,25.97,24.50185185,4.015625
run_108_repetition_0,optimized,equilibrium_index,19,4.748773098,25.99,24.51923077,4.140625
run_109_repetition_0,optimized,equilibrium_index,20,5.058960199,25.98,24.75740741,4.046875
run_110_repetition_0,optimized,equilibrium_index,21,5.152932882,25.93,23.15090909,4.046875
run_111_repetition_0,optimized,equilibrium_index,22,5.958358049,28.62,24.66031746,4.15625
run_112_repetition_0,optimized,equilibrium_index,23,4.754189253,25.99,24.71923077,4.078125
run_113_repetition_0,optimized,equilibrium_index,24,4.865143061,26,24.30566038,4.046875
run_114_repetition_0,optimized,equilibrium_index,25,4.86955595,26,24.57924528,4.09375
run_115_repetition_0,optimized,equilibrium_index,26,4.774494171,25.98,24.66730769,4.109375
run_116_repetition_0,optimized,equilibrium_index,27,5.558567286,25.98,24.255,4.03125
run_117_repetition_0,optimized,equilibrium_index,28,5.839529991,28.59,23.86153846,4.109375
run_118_repetition_0,optimized,equilibrium_index,29,5.861798763,28.6,24.75483871,4
run_119_repetition_0,optimized,equilibrium_index,30,5.077571154,25.99,24.36,4.015625
run_120_repetition_0,baseline,floyd_warshall,1,1.505844116,15.41,22.38421053,4.0625
run_121_repetition_0,baseline,floyd_warshall,2,1.528241873,15.4,23.55263158,4.078125
run_122_repetition_0,baseline,floyd_warshall,3,1.808073044,18.09,20.70434783,4.015625
run_123_repetition_0,baseline,floyd_warshall,4,1.532903194,18.09,21.45,4.046875
run_124_repetition_0,baseline,floyd_warshall,5,1.614073038,15.45,21.62,4.078125
run_125_repetition_0,baseline,floyd_warshall,6,1.624754906,15.42,20.945,4.09375
run_126_repetition_0,baseline,floyd_warshall,7,1.496005058,15.39,24.03157895,3.984375
run_127_repetition_0,baseline,floyd_warshall,8,1.634155035,15.43,22.91428571,4.125
run_128_repetition_0,baseline,floyd_warshall,9,1.63249898,15.41,22.65,4.078125
run_129_repetition_0,baseline,floyd_warshall,10,1.634569883,15.41,22.03,4
run_130_repetition_0,baseline,floyd_warshall,11,1.515404701,15.4,23.68421053,4.0625
run_131_repetition_0,baseline,floyd_warshall,12,1.745153904,18.04,20.31818182,4.078125
run_132_repetition_0,baseline,floyd_warshall,13,1.620488167,15.42,22.56,4.0625
run_133_repetition_0,baseline,floyd_warshall,14,1.629493952,15.42,22.5,4.046875
run_134_repetition_0,baseline,floyd_warshall,15,1.536604881,15.4,24.125,4
run_135_repetition_0,baseline,floyd_warshall,16,1.639282227,15.42,23.19047619,4.0625
run_136_repetition_0,baseline,floyd_warshall,17,1.507837296,15.41,22.73684211,4.0625
run_137_repetition_0,baseline,floyd_warshall,18,1.73112607,18.09,22.64090909,4.046875
run_138_repetition_0,baseline,floyd_warshall,19,1.512941837,15.41,23.38421053,4.09375
run_139_repetition_0,baseline,floyd_warshall,20,1.626383066,15.42,22.5047619,3.953125
run_140_repetition_0,baseline,floyd_warshall,21,1.62139082,15.44,21.82,4.078125
run_141_repetition_0,baseline,floyd_warshall,22,1.532749891,15.42,22.89473684,4.015625
run_142_repetition_0,baseline,floyd_warshall,23,1.735277176,18.07,21.23636364,4.125
run_143_repetition_0,baseline,floyd_warshall,24,1.628266096,15.42,23.07142857,4.1875
