__run_id,__done,script_name,rep,wall_seconds,energy_joules,avg_cpu_util_percent,peak_memory_mb
run_0_repetition_0,DONE,baseline_bfs,1,25.782341957092285,81.25,24.442205323193917,4.0
run_1_repetition_0,DONE,baseline_bfs,2,25.67927598953247,81.41000000000003,25.070542635658914,4.140625
run_2_repetition_0,DONE,baseline_bfs,3,25.376919984817505,78.76000000000002,25.25294117647059,4.0625
run_3_repetition_0,DONE,baseline_bfs,4,25.725736141204834,81.43,25.129069767441862,4.015625
run_4_repetition_0,DONE,baseline_bfs,5,25.278106927871704,78.80000000000001,25.153149606299213,4.015625
run_5_repetition_0,DONE,baseline_bfs,6,25.287837982177734,78.81,24.94862745098039,4.109375
run_6_repetition_0,DONE,baseline_bfs,7,25.406426906585693,81.42000000000002,24.76409266409266,4.09375
run_7_repetition_0,DONE,baseline_bfs,8,25.24319100379944,78.79,25.221653543307088,3.9375
run_8_repetition_0,DONE,baseline_bfs,9,25.995989084243774,81.41,25.080459770114942,4.0625
run_9_repetition_0,DONE,baseline_bfs,10,25.602038860321045,78.78,25.145525291828793,4.0
run_10_repetition_0,DONE,baseline_bfs,11,25.521058797836304,78.80000000000001,25.06225680933852,4.046875
run_11_repetition_0,DONE,baseline_bfs,12,25.24032163619995,78.78,25.235826771653542,4.015625
run_12_repetition_0,DONE,baseline_bfs,13,25.535984992980957,78.76,25.158203125,4.015625
run_13_repetition_0,DONE,baseline_bfs,14,25.210928201675415,78.79,25.206324110671936,4.078125
run_14_repetition_0,DONE,baseline_bfs,15,25.552549123764038,78.77,25.138521400778213,4.015625
run_15_repetition_0,DONE,baseline_bfs,16,25.633355855941772,78.79,25.147859922178988,4.015625
run_16_repetition_0,DONE,baseline_bfs,17,25.471341133117676,81.43,24.987984496124028,4.015625
run_17_repetition_0,DONE,baseline_bfs,18,25.31861400604248,78.80000000000001,25.05748031496063,4.078125
run_18_repetition_0,DONE,baseline_bfs,19,25.21713399887085,78.79,25.061660079051386,3.953125
run_19_repetition_0,DONE,baseline_bfs,20,25.786098957061768,81.45,25.038610038610038,4.0625
run_20_repetition_0,DONE,baseline_bfs,21,25.54264497756958,78.78000000000002,25.2625,4.046875
run_21_repetition_0,DONE,baseline_bfs,22,25.283883810043335,78.77000000000001,25.09015748031496,3.953125
run_22_repetition_0,DONE,baseline_bfs,23,25.525975942611694,78.82000000000001,24.95953307392996,4.015625
run_23_repetition_0,DONE,baseline_bfs,24,25.35616898536682,81.44000000000003,25.032421875,4.015625
run_24_repetition_0,DONE,baseline_bfs,25,25.242221117019653,78.78000000000002,25.04251968503937,4.0625
